train_id,train_type,station,arrival_time,departure_time,transfer_station
10010000,Local,R13,5:02,5:02,FALSE
10010000,Local,R12,5:07,5:07,FALSE
10010000,Local,R11,5:09,5:09,FALSE
10010000,Local,R10,5:13,5:13,FALSE
10010000,Local,R9,5:17,5:17,FALSE
10010000,Local,R8,5:19,5:19,FALSE
10010000,Local,R7,5:23,5:23,FALSE
10010000,Local,R6,5:26,5:26,FALSE
10010000,Local,R5,5:29,5:29,FALSE
10010000,Local,R4,5:32,5:32,FALSE
10010000,Local,R3,5:35,5:35,FALSE
10010000,Local,R2,5:37,5:37,TRUE
10010000,Local,R1,5:39,5:39,TRUE
10010001,Local,R13,5:39,5:39,FALSE
10010001,Local,R12,5:44,5:44,FALSE
10010001,Local,R11,5:47,5:47,FALSE
10010001,Local,R10,5:50,5:50,FALSE
10010001,Local,R9,5:54,5:54,FALSE
10010001,Local,R8,5:57,5:57,FALSE
10010001,Local,R7,6:00,6:00,FALSE
10010001,Local,R6,6:03,6:03,FALSE
10010001,Local,R5,6:07,6:07,FALSE
10010001,Local,R4,6:09,6:09,FALSE
10010001,Local,R3,6:12,6:12,FALSE
10010001,Local,R2,6:15,6:15,TRUE
10010001,Local,R1,6:17,6:17,TRUE
10010002,Local,R13,6:02,6:02,FALSE
10010002,Local,R12,6:07,6:07,FALSE
10010002,Local,R11,6:09,6:09,FALSE
10010002,Local,R10,6:13,6:13,FALSE
10010002,Local,R9,6:17,6:17,FALSE
10010002,Local,R8,6:19,6:19,FALSE
10010002,Local,R7,6:23,6:23,FALSE
10010002,Local,R6,6:26,6:26,FALSE
10010002,Local,R5,6:29,6:29,FALSE
10010002,Local,R4,6:32,6:32,FALSE
10010002,Local,R3,6:35,6:35,FALSE
10010002,Local,R2,6:37,6:37,TRUE
10010002,Local,R1,6:39,6:39,TRUE
10010003,Local,R13,6:34,6:34,FALSE
10010003,Local,R12,6:39,6:39,FALSE
10010003,Local,R11,6:42,6:42,FALSE
10010003,Local,R10,6:45,6:45,FALSE
10010003,Local,R9,6:49,6:49,FALSE
10010003,Local,R8,6:52,6:52,FALSE
10010003,Local,R7,6:55,6:55,FALSE
10010003,Local,R6,6:58,7:00,FALSE
10010003,Local,R5,7:04,7:04,FALSE
10010003,Local,R4,7:06,7:06,FALSE
10010003,Local,R3,7:10,7:10,FALSE
10010003,Local,R2,7:12,7:12,TRUE
10010003,Local,R1,7:14,7:14,TRUE
10010004,Rapid,R13,6:56,6:56,FALSE
10010004,Rapid,R11,7:01,7:01,FALSE
10010004,Rapid,R8,7:09,7:09,FALSE
10010004,Rapid,R7,7:12,7:12,FALSE
10010004,Rapid,R5,7:17,7:17,FALSE
10010004,Rapid,R2,7:23,7:23,TRUE
10010004,Rapid,R1,7:25,7:25,TRUE
10010005,Rapid,R13,7:04,7:04,FALSE
10010005,Rapid,R11,7:09,7:09,FALSE
10010005,Rapid,R8,7:18,7:18,FALSE
10010005,Rapid,R7,7:22,7:22,FALSE
10010005,Rapid,R5,7:27,7:27,FALSE
10010005,Rapid,R2,7:33,7:33,TRUE
10010005,Rapid,R1,7:35,7:35,TRUE
10010006,Local,R13,7:14,7:14,FALSE
10010006,Local,R12,7:19,7:19,FALSE
10010006,Local,R11,7:22,7:22,FALSE
10010006,Local,R10,7:25,7:25,FALSE
10010006,Local,R9,7:29,7:29,FALSE
10010006,Local,R8,7:33,7:33,FALSE
10010006,Local,R7,7:36,7:36,FALSE
10010006,Local,R6,7:39,7:39,FALSE
10010006,Local,R5,7:43,7:43,FALSE
10010006,Local,R4,7:45,7:45,FALSE
10010006,Local,R3,7:48,7:48,FALSE
10010006,Local,R2,7:51,7:51,TRUE
10010006,Local,R1,7:53,7:53,TRUE
10010007,Rapid,R13,7:24,7:24,FALSE
10010007,Rapid,R11,7:29,7:29,FALSE
10010007,Rapid,R8,7:39,7:39,FALSE
10010007,Rapid,R7,7:42,7:42,FALSE
10010007,Rapid,R5,7:48,7:48,FALSE
10010007,Rapid,R2,7:56,7:56,TRUE
10010007,Rapid,R1,7:58,7:58,TRUE
10010008,Local,R13,7:38,7:38,FALSE
10010008,Local,R12,7:43,7:43,FALSE
10010008,Local,R11,7:46,7:46,FALSE
10010008,Local,R10,7:50,7:50,FALSE
10010008,Local,R9,7:54,7:54,FALSE
10010008,Local,R8,7:57,7:57,FALSE
10010008,Local,R7,8:01,8:01,FALSE
10010008,Local,R6,8:04,8:04,FALSE
10010008,Local,R5,8:07,8:07,FALSE
10010008,Local,R4,8:10,8:10,FALSE
10010008,Local,R3,8:13,8:13,FALSE
10010008,Local,R2,8:15,8:15,TRUE
10010008,Local,R1,8:17,8:17,TRUE
10010009,Local,R13,7:50,7:50,FALSE
10010009,Local,R12,7:55,7:58,FALSE
10010009,Local,R11,8:01,8:01,FALSE
10010009,Local,R10,8:05,8:05,FALSE
10010009,Local,R9,8:09,8:09,FALSE
10010009,Local,R8,8:13,8:13,FALSE
10010009,Local,R7,8:16,8:16,FALSE
10010009,Local,R6,8:19,8:19,FALSE
10010009,Local,R5,8:23,8:23,FALSE
10010009,Local,R4,8:26,8:26,FALSE
10010009,Local,R3,8:29,8:29,FALSE
10010009,Local,R2,8:31,8:31,TRUE
10010009,Local,R1,8:33,8:33,TRUE
10010010,Local,R13,8:05,8:05,FALSE
10010010,Local,R12,8:10,8:14,FALSE
10010010,Local,R11,8:17,8:17,FALSE
10010010,Local,R10,8:21,8:21,FALSE
10010010,Local,R9,8:25,8:25,FALSE
10010010,Local,R8,8:29,8:30,FALSE
10010010,Local,R7,8:33,9:33,FALSE
10010010,Local,R6,8:36,8:39,FALSE
10010010,Local,R5,8:44,8:44,FALSE
10010010,Local,R4,8:46,8:46,FALSE
10010010,Local,R3,8:49,8:49,FALSE
10010010,Local,R2,8:52,8:52,TRUE
10010010,Local,R1,8:54,8:54,TRUE
10010011,Rapid,R13,8:09,8:09,FALSE
10010011,Rapid,R11,8:14,8:14,FALSE
10010011,Rapid,R8,8:23,8:23,FALSE
10010011,Rapid,R7,8:27,8:27,FALSE
10010011,Rapid,R5,8:33,8:33,FALSE
10010011,Rapid,R2,8:41,8:41,TRUE
10010011,Rapid,R1,8:43,8:43,TRUE
10010012,Local,R13,8:28,8:28,FALSE
10010012,Local,R12,8:33,8:33,FALSE
10010012,Local,R11,8:35,8:35,FALSE
10010012,Local,R10,8:39,8:39,FALSE
10010012,Local,R9,8:43,8:43,FALSE
10010012,Local,R8,8:47,8:49,FALSE
10010012,Local,R7,8:53,8:53,FALSE
10010012,Local,R6,8:56,8:56,FALSE
10010012,Local,R5,9:00,9:00,FALSE
10010012,Local,R4,9:02,9:02,FALSE
10010012,Local,R3,9:05,9:05,FALSE
10010012,Local,R2,9:08,9:08,TRUE
10010012,Local,R1,9:10,9:10,TRUE
10010013,Local,R13,8:45,8:45,FALSE
10010013,Local,R12,8:50,8:50,FALSE
10010013,Local,R11,8:52,8:52,FALSE
10010013,Local,R10,8:56,8:56,FALSE
10010013,Local,R9,9:00,9:00,FALSE
10010013,Local,R8,9:03,9:03,FALSE
10010013,Local,R7,9:06,9:06,FALSE
10010013,Local,R6,9:09,9:09,FALSE
10010013,Local,R5,9:13,9:13,FALSE
10010013,Local,R4,9:15,9:15,FALSE
10010013,Local,R3,9:18,9:18,FALSE
10010013,Local,R2,9:21,9:21,TRUE
10010013,Local,R1,9:23,9:23,TRUE
10010014,Local,R13,9:04,9:04,FALSE
10010014,Local,R12,9:08,9:08,FALSE
10010014,Local,R11,9:11,9:11,FALSE
10010014,Local,R10,9:14,9:14,FALSE
10010014,Local,R9,9:18,9:18,FALSE
10010014,Local,R8,9:22,9:24,FALSE
10010014,Local,R7,9:27,9:27,FALSE
10010014,Local,R6,9:30,9:30,FALSE
10010014,Local,R5,9:34,9:34,FALSE
10010014,Local,R4,9:36,9:36,FALSE
10010014,Local,R3,9:39,9:39,FALSE
10010014,Local,R2,9:42,9:42,TRUE
10010014,Local,R1,9:44,9:44,TRUE
10010015,Local,R13,9:25,9:25,FALSE
10010015,Local,R12,9:29,9:29,FALSE
10010015,Local,R11,9:32,9:32,FALSE
10010015,Local,R10,9:35,9:35,FALSE
10010015,Local,R9,9:39,9:39,FALSE
10010015,Local,R8,9:42,9:42,FALSE
10010015,Local,R7,9:46,9:46,FALSE
10010015,Local,R6,9:49,9:49,FALSE
10010015,Local,R5,9:52,9:52,FALSE
10010015,Local,R4,9:55,9:55,FALSE
10010015,Local,R3,9:58,9:58,FALSE
10010015,Local,R2,10:00,10:00,TRUE
10010015,Local,R1,10:02,10:02,TRUE
10010016,Rapid,R13,9:48,9:48,FALSE
10010016,Rapid,R11,9:53,9:53,FALSE
10010016,Rapid,R8,10:01,10:01,FALSE
10010016,Rapid,R7,10:05,10:05,FALSE
10010016,Rapid,R5,10:09,10:09,FALSE
10010016,Rapid,R2,10:15,10:15,TRUE
10010016,Rapid,R1,10:17,10:17,TRUE
10010017,Local,R13,10:04,10:04,FALSE
10010017,Local,R12,10:09,10:09,FALSE
10010017,Local,R11,10:11,10:11,FALSE
10010017,Local,R10,10:15,10:15,FALSE
10010017,Local,R9,10:19,10:19,FALSE
10010017,Local,R8,10:23,10:25,FALSE
10010017,Local,R7,10:28,10:28,FALSE
10010017,Local,R6,10:31,10:31,FALSE
10010017,Local,R5,10:35,10:35,FALSE
10010017,Local,R4,10:37,10:37,FALSE
10010017,Local,R3,10:40,10:40,FALSE
10010017,Local,R2,10:43,10:43,TRUE
10010017,Local,R1,10:44,10:44,TRUE
10010018,Rapid,R13,10:32,10:32,FALSE
10010018,Rapid,R11,10:37,10:37,FALSE
